     GS10     TB3MS
     2.83       2.19
     3.05       2.16
     3.11       2.11
     2.93       2.04
     2.95       2.04
     2.87       1.79
     2.66       1.38
     2.68       1.44
     2.59        1.6
     2.48       1.18
     2.47        .97
     2.37       1.03
     2.29        .97
     2.37        .76
     2.38        .64
      2.3        .72
     2.36        .92
     2.38       1.01
     2.43        .98
     2.48        .93
     2.51       1.15
     2.61       1.22
     2.65       1.17
     2.68       1.28
     2.75       1.59
     2.76       1.45
     2.78       1.41
      2.9        1.6
     2.97        1.9
     2.97       2.07
     2.88       2.23
     2.89       2.24
     2.96       2.54
      2.9       2.41
     2.84       2.32
     2.96       2.25
     3.18        2.6
     3.07       2.61
     3.05       2.49
     3.11       2.31
     3.33        2.6
     3.38       2.84
     3.34        2.9
     3.49       2.99
     3.59       3.21
     3.46       3.11
     3.34        3.1
     3.41       3.08
     3.48       3.07
      3.6       3.06
      3.8       3.29
     3.93       3.16
     3.93       3.37
     3.92       3.53
     3.97       3.58
     3.72       3.31
     3.21       3.04
     3.09       2.44
     3.05       1.53
     2.98        1.3
     2.88       1.13
     2.92        .91
     2.97        .83
      3.2        .91
     3.54       1.69
     3.76       2.44
      3.8       2.63
     3.74       2.67
     3.86       2.77
     4.02       2.82
     3.96        2.7
     3.99        2.8
     4.12       2.95
     4.31       2.84
     4.34       3.21
      4.4        3.2
     4.43       3.38
     4.68       4.04
     4.53       4.05
     4.53       4.15
     4.69       4.49
     4.72       4.35
     4.49       3.96
     4.25       3.31
     4.28       3.23
     4.35       3.29
     4.15       2.46
      3.9        2.3
      3.8        2.3
      3.8       2.48
     3.89        2.3
     3.93       2.37
     3.84       2.25
     3.84       2.24
     3.78       2.42
     3.74       2.39
     3.78       2.29
     3.71       2.29
     3.88       2.33
     3.92       2.24
     4.04       2.39
     3.98       2.28
     3.92        2.3
     3.94       2.48
     4.06        2.6
     4.08       2.72
     4.04       2.73
     3.93       2.72
     3.84       2.73
     3.87       2.69
     3.91       2.73
     4.01       2.92
     3.98       2.82
     3.98       2.78
     3.93       2.74
